replicate,condition,pre_primary,post_primary,improvement,pre_lines_cleared,post_lines_cleared,lines_improvement,pre_elo,training_steps,tutorial,pre_hole_avoidance,pre_stack_height_management,pre_surface_smoothness,pre_line_clearing_efficiency,post_hole_avoidance,post_stack_height_management,post_surface_smoothness,post_line_clearing_efficiency
12,rating_only,27.166666666666668,28.0,0.8333333333333321,0.0,0.0,0.0,1500.0,40,rating_tier_board,-40.30276014109347,-14.066834215167548,-19.781358024691357,0.0,-35.99653735632184,-14.060836648983202,-21.023519746536987,0.0
12,rating_history,27.166666666666668,28.0,0.8333333333333321,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,hole_management,-40.30276014109347,-14.066834215167548,-19.781358024691357,0.0,-37.32983297022513,-13.317480029048657,-20.175628177196806,0.004901960784313725
13,control,26.833333333333332,29.333333333333332,2.5,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-40.48304162312783,-13.827953177091107,-21.362016096929892,0.0,-37.93645397030286,-13.82695599138297,-20.558382104147825,0.009952465834818775
13,rating_only,26.833333333333332,29.833333333333332,3.0,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,rating_tier_board,-40.48304162312783,-13.827953177091107,-21.362016096929892,0.0,-38.26710727111056,-13.326768468737555,-17.035586093601943,0.010584677419354838
13,rating_history,26.833333333333332,29.0,2.166666666666668,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,height_management,-40.48304162312783,-13.827953177091107,-21.362016096929892,0.0,-35.01486288900267,-12.83847784035956,-18.2015878705126,0.010138248847926266
14,control,28.5,27.333333333333332,-1.1666666666666679,0.0,0.0,0.0,1500.0,40,ordinary_practice,-33.70325363493467,-13.556050139994106,-20.07171883698464,0.0,-35.6762637285554,-13.526633297258297,-21.441789221580887,0.0
14,rating_only,28.5,28.666666666666668,0.16666666666666785,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-33.70325363493467,-13.556050139994106,-20.07171883698464,0.0,-34.99565605852536,-13.975506294471812,-20.9065620551069,0.005747126436781609
14,rating_history,28.5,27.0,-1.5,0.0,0.0,0.0,1500.0,40,hole_management,-33.70325363493467,-13.556050139994106,-20.07171883698464,0.0,-33.99448747614988,-13.495238095238095,-20.465470101083913,0.0
15,control,27.5,28.333333333333332,0.8333333333333321,0.0,0.0,0.0,1500.0,40,ordinary_practice,-38.44002463054187,-13.162534209085933,-17.765229885057472,0.0,-34.16280081925243,-12.704426238834841,-17.540406497126927,0.0
15,rating_only,27.5,28.333333333333332,0.8333333333333321,0.0,0.0,0.0,1500.0,40,rating_tier_board,-38.44002463054187,-13.162534209085933,-17.765229885057472,0.0,-37.35948184185114,-13.407390099703782,-18.33344658493157,0.0
15,rating_history,27.5,27.833333333333332,0.33333333333333215,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,surface_management,-38.44002463054187,-13.162534209085933,-17.765229885057472,0.0,-40.925330643972885,-14.218976569407603,-19.412124226348364,0.005208333333333333
16,control,28.5,25.833333333333332,-2.666666666666668,0.5,0.0,-0.5,1500.0,40,ordinary_practice,-38.98426329941161,-13.687593691482924,-17.445823291279975,0.015756302521008403,-39.043450596639005,-13.274778479706017,-21.4355175688509,0.0
16,rating_only,28.5,26.166666666666668,-2.333333333333332,0.5,0.0,-0.5,1500.0,40,rating_tier_board,-38.98426329941161,-13.687593691482924,-17.445823291279975,0.015756302521008403,-39.5481726729228,-13.531305114638448,-20.16610378673097,0.0
16,rating_history,28.5,25.0,-3.5,0.5,0.0,-0.5,1500.0,40,hole_management,-38.98426329941161,-13.687593691482924,-17.445823291279975,0.015756302521008403,-39.77300658278919,-13.180079247108232,-21.060135047453887,0.0
17,control,27.166666666666668,26.833333333333332,-0.3333333333333357,0.0,0.0,0.0,1500.0,40,ordinary_practice,-39.388364626008304,-13.428476057786403,-17.05014678807782,0.0,-39.626176032354195,-13.354203916560238,-17.562883141762452,0.0
17,rating_only,27.166666666666668,26.833333333333332,-0.3333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-39.388364626008304,-13.428476057786403,-17.05014678807782,0.0,-39.35486956104772,-13.18360630429596,-17.109538955084933,0.005952380952380952
17,rating_history,27.166666666666668,26.833333333333332,-0.3333333333333357,0.0,0.0,0.0,1500.0,40,surface_management,-39.388364626008304,-13.428476057786403,-17.05014678807782,0.0,-39.310589612601106,-13.249265644955301,-17.556710302256278,0.0
18,control,26.0,28.166666666666668,2.166666666666668,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,ordinary_practice,-39.885790071996965,-13.409270135994273,-19.9894341290893,0.005555555555555556,-40.46191443363486,-13.099225123741252,-14.287123229220004,0.005376344086021505
18,rating_only,26.0,27.0,1.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,rating_tier_board,-39.885790071996965,-13.409270135994273,-19.9894341290893,0.005555555555555556,-36.90034722222222,-13.260069444444444,-18.077430555555555,0.0
18,rating_history,26.0,28.333333333333332,2.333333333333332,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,height_management,-39.885790071996965,-13.409270135994273,-19.9894341290893,0.005555555555555556,-40.61266648421821,-13.412557015143221,-15.439154959557257,0.005555555555555556
19,control,26.833333333333332,28.166666666666668,1.3333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,ordinary_practice,-38.1475131051744,-12.995190472609828,-19.45651490086974,0.005376344086021505,-39.61073277578654,-13.23479689366786,-16.879754082039028,0.005376344086021505
19,rating_only,26.833333333333332,26.666666666666668,-0.1666666666666643,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,rating_tier_board,-38.1475131051744,-12.995190472609828,-19.45651490086974,0.005376344086021505,-36.59612332112332,-13.528037240537241,-20.87516788766789,0.005555555555555556
19,rating_history,26.833333333333332,28.166666666666668,1.3333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,hole_management,-38.1475131051744,-12.995190472609828,-19.45651490086974,0.005376344086021505,-39.61073277578654,-13.23479689366786,-16.879754082039028,0.005376344086021505
20,control,27.166666666666668,26.666666666666668,-0.5,0.0,0.0,0.0,1500.0,40,ordinary_practice,-37.15494993457359,-12.96236616032315,-18.121195596518177,0.0,-36.6213654568727,-12.871476939592881,-17.418632065733515,0.0
20,rating_only,27.166666666666668,25.5,-1.6666666666666679,0.0,0.0,0.0,1500.0,40,rating_tier_board,-37.15494993457359,-12.96236616032315,-18.121195596518177,0.0,-35.36119969777016,-13.043862652007329,-21.44557382023274,0.0
20,rating_history,27.166666666666668,27.833333333333332,0.6666666666666643,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,surface_management,-37.15494993457359,-12.96236616032315,-18.121195596518177,0.0,-38.81885711410168,-13.277905979219385,-18.610180152979066,0.011160714285714286
21,control,27.666666666666668,26.833333333333332,-0.8333333333333357,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,ordinary_practice,-38.84080986063745,-13.535889857269169,-18.086084796429624,0.005952380952380952,-37.00178691980322,-13.02393739714392,-19.66911991691883,0.006172839506172839
21,rating_only,27.666666666666668,27.666666666666668,0.0,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,rating_tier_board,-38.84080986063745,-13.535889857269169,-18.086084796429624,0.005952380952380952,-39.43135517863779,-13.081103678929766,-18.253203137442267,0.0047619047619047615
21,rating_history,27.666666666666668,27.666666666666668,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1500.0,40,surface_management,-38.84080986063745,-13.535889857269169,-18.086084796429624,0.005952380952380952,-36.582674369420516,-13.523870466840313,-20.436053507424475,0.01075268817204301
22,control,28.166666666666668,26.666666666666668,-1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-34.5017387718178,-12.78849537037037,-17.09026447424436,0.005208333333333333,-34.260384075952096,-12.857033044094756,-19.42611251534814,0.0
22,rating_only,28.166666666666668,29.833333333333332,1.6666666666666643,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,rating_tier_board,-34.5017387718178,-12.78849537037037,-17.09026447424436,0.005208333333333333,-33.39888753222087,-12.890700933244792,-15.8227215117566,0.0043859649122807015
22,rating_history,28.166666666666668,26.666666666666668,-1.5,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,hole_management,-34.5017387718178,-12.78849537037037,-17.09026447424436,0.005208333333333333,-37.60341618364607,-12.895376101123228,-18.425131479844126,0.0
23,control,24.5,24.833333333333332,0.33333333333333215,0.0,0.0,0.0,1500.0,40,ordinary_practice,-41.44424636666016,-13.101210092589403,-18.0418035030104,0.0,-39.58006129672796,-13.225376845376847,-19.756718682552016,0.0
23,rating_only,24.5,24.833333333333332,0.33333333333333215,0.0,0.0,0.0,1500.0,40,rating_tier_board,-41.44424636666016,-13.101210092589403,-18.0418035030104,0.0,-37.297973754640424,-12.894400414400415,-19.81194595527929,0.0
23,rating_history,24.5,25.833333333333332,1.3333333333333321,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,height_management,-41.44424636666016,-13.101210092589403,-18.0418035030104,0.0,-40.28994720965309,-13.70024132730015,-20.19871040723982,0.00980392156862745
24,control,26.333333333333332,25.5,-0.8333333333333321,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,ordinary_practice,-37.891941391941394,-13.293727106227106,-17.958943833943835,0.006944444444444444,-42.85540184453228,-13.240219925002533,-18.669401250922988,0.005952380952380952
24,rating_only,26.333333333333332,27.166666666666668,0.8333333333333357,0.16666666666666666,0.5,0.33333333333333337,1500.0,40,rating_tier_board,-37.891941391941394,-13.293727106227106,-17.958943833943835,0.006944444444444444,-41.0285224035224,-13.488970905637572,-18.01284209617543,0.018167789001122335
24,rating_history,26.333333333333332,25.5,-0.8333333333333321,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,surface_management,-37.891941391941394,-13.293727106227106,-17.958943833943835,0.006944444444444444,-42.85540184453228,-13.240219925002533,-18.669401250922988,0.005952380952380952
25,control,27.5,27.166666666666668,-0.33333333333333215,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,ordinary_practice,-37.6751061390601,-13.120525767208989,-18.1602805078942,0.0,-36.62008568867904,-12.90005333683083,-18.09976085863554,0.011568627450980392
25,rating_only,27.5,26.5,-1.0,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-37.6751061390601,-13.120525767208989,-18.1602805078942,0.0,-40.86738916256158,-13.990433771209634,-21.64868363437329,0.005952380952380952
25,rating_history,27.5,27.166666666666668,-0.33333333333333215,0.0,0.3333333333333333,0.3333333333333333,1500.0,40,height_management,-37.6751061390601,-13.120525767208989,-18.1602805078942,0.0,-36.80124510896889,-12.90005333683083,-18.027297090519596,0.011568627450980392
26,control,25.833333333333332,27.166666666666668,1.3333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,ordinary_practice,-36.71727802765284,-13.04967516241879,-18.426003664834248,0.0,-40.05545095604878,-13.270155379041249,-20.43856516671734,0.005050505050505051
26,rating_only,25.833333333333332,27.166666666666668,1.3333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,rating_tier_board,-36.71727802765284,-13.04967516241879,-18.426003664834248,0.0,-40.05545095604878,-13.270155379041249,-20.43856516671734,0.005050505050505051
26,rating_history,25.833333333333332,27.166666666666668,1.3333333333333357,0.0,0.16666666666666666,0.16666666666666666,1500.0,40,surface_management,-36.71727802765284,-13.04967516241879,-18.426003664834248,0.0,-40.05545095604878,-13.270155379041249,-20.43856516671734,0.005050505050505051
27,control,26.666666666666668,28.333333333333332,1.6666666666666643,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,ordinary_practice,-39.90473429951691,-13.571739130434782,-18.004628958668814,0.005208333333333333,-35.67897338533114,-13.672661808976464,-19.56970956486043,0.0
27,rating_only,26.666666666666668,29.166666666666668,2.5,0.16666666666666666,0.16666666666666666,0.0,1500.0,40,rating_tier_board,-39.90473429951691,-13.571739130434782,-18.004628958668814,0.005208333333333333,-40.68523549432893,-13.703245194429844,-17.725179109606252,0.005376344086021505
27,rating_history,26.666666666666668,28.666666666666668,2.0,0.16666666666666666,0.0,-0.16666666666666666,1500.0,40,height_management,-39.90473429951691,-13.571739130434782,-18.004628958668814,0.005208333333333333,-36.98511904761905,-13.505957892416225,-19.086932319223987,0.0
28,control,26.833333333333332,25.0,-1.8333333333333321,0.3333333333333333,0.0,-0.3333333333333333,1500.0,40,ordinary_practice,-41.4742489866178,-13.1404287172653,-16.659157244739454,0.011494252873563218,-42.37906046976512,-13.737381309345327,-22.729385307346327,0.0
28,rating_only,26.833333333333332,25.666666666666668,-1.1666666666666643,0.3333333333333333,0.3333333333333333,0.0,1500.0,40,rating_tier_board,-41.4742489866178,-13.1404287172653,-16.659157244739454,0.011494252873563218,-44.21013770180437,-13.447256138922805,-18.610906254239588,0.012362637362637362
28,rating_history,26.833333333333332,25.666666666666668,-1.1666666666666643,0.3333333333333333,0.3333333333333333,0.0,1500.0,40,surface_management,-41.4742489866178,-13.1404287172653,-16.659157244739454,0.011494252873563218,-41.16721154583473,-13.709229913940058,-21.35137554340453,0.012362637362637362
29,control,28.666666666666668,28.0,-0.6666666666666679,0.3333333333333333,0.16666666666666666,-0.16666666666666666,1500.0,40,ordinary_practice,-34.45619539411206,-12.816489197530863,-17.298625949667617,0.010763888888888889,-38.710222531831725,-13.781988467045938,-20.40303262510159,0.005050505050505051
